code_family,outfield
DETTDUPEC,Defense Evasion > T1127 > Trusted Developer Utilities Proxy Execution: ClickOnce — Adversaries may use ClickOnce applications (.
DETTDUPEJ,Defense Evasion > T1127 > Trusted Developer Utilities Proxy Execution: JamPlus — Adversaries may use `JamPlus` to proxy the execution of a malicious script.
DETTDUPEM,Defense Evasion > T1127 > Trusted Developer Utilities Proxy Execution: MSBuild — Adversaries may use MSBuild to proxy execution of code through a trusted Windows utility.
CATUCBH,Credential Access > T1552 > Unsecured Credentials: Bash History — Adversaries may search the bash command history on compromised systems for insecurely stored credentials.
CATUCCM,Credential Access > T1552 > Unsecured Credentials: Chat Messages — Adversaries may directly collect unsecured credentials stored or passed through user communication services.
CATUCCIMA,Credential Access > T1552 > Unsecured Credentials: Cloud Instance Metadata API — Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other sensitive data.
CATUCCA,Credential Access > T1552 > Unsecured Credentials: Container API — Adversaries may gather credentials via APIs within a containers environment.
CATUCCIF,Credential Access > T1552 > Unsecured Credentials: Credentials In Files — Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials.
CATUCCIR,Credential Access > T1552 > Unsecured Credentials: Credentials in Registry — Adversaries may search the Registry on compromised systems for insecurely stored credentials.
CATUCGPP,Credential Access > T1552 > Unsecured Credentials: Group Policy Preferences — Adversaries may attempt to find unsecured credentials in Group Policy Preferences (GPP).
CATUCPK,Credential Access > T1552 > Unsecured Credentials: Private Keys — Adversaries may search for private key certificate files on compromised systems for insecurely stored credentials.
DETUAAMAAT,"Defense Evasion > T1550 > Use Alternate Authentication Material: Application Access Token — Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
LMTUAAMAAT,"Lateral Movement > T1550 > Use Alternate Authentication Material: Application Access Token — Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
DETUAAMPTH,"Defense Evasion > T1550 > Use Alternate Authentication Material: Pass the Hash — Adversaries may “pass the hash” using stolen password hashes to move laterally within an environment, bypassing normal system access controls."
LMTUAAMPTH,"Lateral Movement > T1550 > Use Alternate Authentication Material: Pass the Hash — Adversaries may “pass the hash” using stolen password hashes to move laterally within an environment, bypassing normal system access controls."
DETUAAMPTT,"Defense Evasion > T1550 > Use Alternate Authentication Material: Pass the Ticket — Adversaries may “pass the ticket” using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls."
LMTUAAMPTT,"Lateral Movement > T1550 > Use Alternate Authentication Material: Pass the Ticket — Adversaries may “pass the ticket” using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls."
DETUAAMWSC,Defense Evasion > T1550 > Use Alternate Authentication Material: Web Session Cookie — Adversaries can use stolen session cookies to authenticate to web applications and services.
LMTUAAMWSC,Lateral Movement > T1550 > Use Alternate Authentication Material: Web Session Cookie — Adversaries can use stolen session cookies to authenticate to web applications and services.
ETUEMCAP,Execution > T1204 > User Execution: Malicious Copy and Paste — An adversary may rely upon a user copying and pasting code in order to gain execution.
ETUEMF,Execution > T1204 > User Execution: Malicious File — An adversary may rely upon a user opening a malicious file in order to gain execution.
ETUEMI,Execution > T1204 > User Execution: Malicious Image — Adversaries may rely on a user running a malicious image to facilitate execution.
ETUEML,Execution > T1204 > User Execution: Malicious Link — An adversary may rely upon a user clicking a malicious link in order to gain execution.
DETVACA,"Defense Evasion > T1078 > Valid Accounts: Cloud Accounts — Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
IATVACA,"Initial Access > T1078 > Valid Accounts: Cloud Accounts — Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PTVACA,"Persistence > T1078 > Valid Accounts: Cloud Accounts — Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PETVACA,"Privilege Escalation > T1078 > Valid Accounts: Cloud Accounts — Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
DETVADA,"Defense Evasion > T1078 > Valid Accounts: Default Accounts — Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
IATVADA,"Initial Access > T1078 > Valid Accounts: Default Accounts — Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PTVADA,"Persistence > T1078 > Valid Accounts: Default Accounts — Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PETVADA,"Privilege Escalation > T1078 > Valid Accounts: Default Accounts — Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
DETVADA,"Defense Evasion > T1078 > Valid Accounts: Domain Accounts — Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
IATVADA,"Initial Access > T1078 > Valid Accounts: Domain Accounts — Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PTVADA,"Persistence > T1078 > Valid Accounts: Domain Accounts — Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PETVADA,"Privilege Escalation > T1078 > Valid Accounts: Domain Accounts — Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
DETVALA,"Defense Evasion > T1078 > Valid Accounts: Local Accounts — Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
IATVALA,"Initial Access > T1078 > Valid Accounts: Local Accounts — Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PTVALA,"Persistence > T1078 > Valid Accounts: Local Accounts — Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
PETVALA,"Privilege Escalation > T1078 > Valid Accounts: Local Accounts — Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
DETVSESC,Defense Evasion > T1497 > Virtualization/Sandbox Evasion: System Checks — Adversaries may employ various system checks to detect and avoid virtualization and analysis environments.
DTVSESC,Discovery > T1497 > Virtualization/Sandbox Evasion: System Checks — Adversaries may employ various system checks to detect and avoid virtualization and analysis environments.
DETVSETBE,Defense Evasion > T1497 > Virtualization/Sandbox Evasion: Time Based Evasion — Adversaries may employ various time-based methods to detect and avoid virtualization and analysis environments.
DTVSETBE,Discovery > T1497 > Virtualization/Sandbox Evasion: Time Based Evasion — Adversaries may employ various time-based methods to detect and avoid virtualization and analysis environments.
DETVSEUABC,Defense Evasion > T1497 > Virtualization/Sandbox Evasion: User Activity Based Checks — Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments.
DTVSEUABC,Discovery > T1497 > Virtualization/Sandbox Evasion: User Activity Based Checks — Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments.
DETWEDCH,"Defense Evasion > T1600 > Weaken Encryption: Disable Crypto Hardware — Adversaries disable a network device’s dedicated hardware encryption, which may enable them to leverage weaknesses in software encryption in order to reduce the effort involved in collecting, manipulating, and exfiltrating transmitted data."
DETWERKS,Defense Evasion > T1600 > Weaken Encryption: Reduce Key Space — Adversaries may reduce the level of effort required to decrypt data transmitted over the network by reducing the cipher strength of encrypted communications.
CACTWSBC,"Command and Control > T1102 > Web Service: Bidirectional Communication — Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel."
CACTWSDDR,"Command and Control > T1102 > Web Service: Dead Drop Resolver — Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure."
CACTWSOWC,"Command and Control > T1102 > Web Service: One-Way Communication — Adversaries may use an existing, legitimate external Web service as a means for sending commands to a compromised system without receiving return output over the Web service channel."
IRFAFUM,Inhibit Response Function > Activate Firmware Update Mode — Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction.
CAITM,Collection > Adversary-in-the-Middle — Adversaries with privileged network access may seek to modify network traffic in real time using adversary-in-the-middle (AiTM) attacks.
IRFAS,Inhibit Response Function > Alarm Suppression — Adversaries may target protection function alarms to prevent them from notifying operators of critical conditions.
CAC,Collection > Automated Collection — Adversaries may automate collection of industrial environment information using tools or scripts.
EAI,Execution > Autorun Image — Adversaries may leverage AutoRun functionality or scripts to execute malicious code.
IRFBCM,Inhibit Response Function > Block Command Message — Adversaries may block a command message from reaching its intended target to prevent command execution.
IRFBRM,Inhibit Response Function > Block Reporting Message — Adversaries may block or prevent a reporting message from reaching its intended target.
IRFBSC,Inhibit Response Function > Block Serial COM — Adversaries may block access to serial COM to prevent instructions or configurations from reaching target devices.
IPCBFIO,Impair Process Control > Brute Force I/O — Adversaries may repetitively or successively change I/O point values to perform an action.
IRFCC,Inhibit Response Function > Change Credential — Adversaries may modify software and device credentials to prevent operator and responder access.
ECOM,Evasion > Change Operating Mode — Adversaries may change the operating mode of a controller to gain additional access to engineering functions such as Program Download.
ECOM,Execution > Change Operating Mode — Adversaries may change the operating mode of a controller to gain additional access to engineering functions such as Program Download.
ECLI,Execution > Command-Line Interface — Adversaries may utilize command-line interfaces (CLIs) to interact with systems and execute commands.
CACCUP,"Command and Control > Commonly Used Port — Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity, to avoid more detailed inspection."
CACCP,Command and Control > Connection Proxy — Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications.
IDTP,"Impact > Damage to Property — Adversaries may cause damage and destruction of property to infrastructure, equipment, and the surrounding environment when attacking control systems."
IRFDD,Inhibit Response Function > Data Destruction — Adversaries may perform data destruction over the course of an operation.
CDFIR,Collection > Data from Information Repositories — Adversaries may target and collect data from information repositories.
CDFLS,"Collection > Data from Local System — Adversaries may target and collect data from local system sources, such as file systems, configuration files, or local databases."
LMDC,Lateral Movement > Default Credentials — Adversaries may leverage manufacturer or supplier set default credentials on control system devices.
IDOC,Impact > Denial of Control — Adversaries may cause a denial of control to temporarily prevent operators and engineers from interacting with process controls.
IRFDOS,Inhibit Response Function > Denial of Service — Adversaries may perform Denial-of-Service (DoS) attacks to disrupt expected device functionality.
IDOV,Impact > Denial of View — Adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ICS environment.
CDOM,Collection > Detect Operating Mode — Adversaries may gather information about a PLCs or controllers current operating mode.
IRFDRS,Inhibit Response Function > Device Restart/Shutdown — Adversaries may forcibly restart or shutdown a device in an ICS environment to disrupt and potentially negatively impact physical processes.
IADBC,"Initial Access > Drive-by Compromise — Adversaries may gain access to a system during a drive-by compromise, when a user visits a website as part of a regular browsing session."
EETA,Execution > Execution through API — Adversaries may attempt to leverage Application Program Interfaces (APIs) used for communication between control software and the hardware.
IAEPFA,Initial Access > Exploit Public-Facing Application — Adversaries may leverage weaknesses to exploit internet-facing software for initial access into an industrial network.
EEFE,"Evasion > Exploitation for Evasion — Adversaries may exploit a software vulnerability to take advantage of a programming error in a program, service, or within the operating system software or kernel itself to evade detection."
IAEORS,"Initial Access > Exploitation of Remote Services — Adversaries may exploit a software vulnerability to take advantage of a programming error in a program, service, or within the operating system software or kernel itself to enable remote service abuse."
LMEORS,"Lateral Movement > Exploitation of Remote Services — Adversaries may exploit a software vulnerability to take advantage of a programming error in a program, service, or within the operating system software or kernel itself to enable remote service abuse."
IAERS,Initial Access > External Remote Services — Adversaries may leverage external remote services as a point of initial access into your network.
EGUI,Execution > Graphical User Interface — Adversaries may attempt to gain access to a machine via a Graphical User Interface (GUI) to enhance execution capabilities.
LMHC,Lateral Movement > Hardcoded Credentials — Adversaries may leverage credentials that are hardcoded in software or firmware to gain an unauthorized interactive user session to an asset.
PHC,Persistence > Hardcoded Credentials — Adversaries may leverage credentials that are hardcoded in software or firmware to gain an unauthorized interactive user session to an asset.
EH,Execution > Hooking — Adversaries may hook into application programming interface (API) functions used by processes to redirect calls for execution and privilege escalation means.
PEH,Privilege Escalation > Hooking — Adversaries may hook into application programming interface (API) functions used by processes to redirect calls for execution and privilege escalation means.
CIOI,Collection > I/O Image — Adversaries may seek to capture process values related to the inputs and outputs of a PLC.
EIROH,Evasion > Indicator Removal on Host — Adversaries may attempt to remove indicators of their presence on a system in an effort to cover their tracks.
IAIAD,Initial Access > Internet Accessible Device — Adversaries may gain access into industrial environments through systems exposed directly to the internet for remote access rather than through [External Remote Services](https:
LMLTT,Lateral Movement > Lateral Tool Transfer — Adversaries may transfer tools or other files from one system to another to stage adversary tools or other files over the course of an operation.
ILOA,Impact > Loss of Availability — Adversaries may attempt to disrupt essential components or systems to prevent owner and operator from delivering products or services.
ILOC,Impact > Loss of Control — Adversaries may seek to achieve a sustained loss of control or a runaway condition in which operators cannot issue any commands even if the malicious interference has subsided.
ILOPAR,"Impact > Loss of Productivity and Revenue — Adversaries may cause loss of productivity and revenue through disruption and even damage to the availability and integrity of control system operations, devices, and related processes."
ILOP,Impact > Loss of Protection — Adversaries may compromise protective system functions designed to prevent the effects of faults and abnormal conditions.
ILOS,Impact > Loss of Safety — Adversaries may compromise safety system functions designed to maintain safe operation of a process when unacceptable or dangerous conditions occur.
ILOV,"Impact > Loss of View — Adversaries may cause a sustained or permanent loss of view where the ICS equipment will require local, hands-on operator intervention;"
IRFMIOI,Inhibit Response Function > Manipulate I/O Image — Adversaries may manipulate the I/O image of PLCs through various means to prevent them from functioning as expected.
IMOC,Impact > Manipulation of Control — Adversaries may manipulate physical process control within the industrial environment.
IMOV,Impact > Manipulation of View — Adversaries may attempt to manipulate the information reported back to operators or controllers.
EM,"Evasion > Masquerading — Adversaries may use masquerading to disguise a malicious application or executable as another file, to avoid operator and engineer suspicion."
IRFMAS,Inhibit Response Function > Modify Alarm Settings — Adversaries may modify alarm settings to prevent alerts that may inform operators of their presence or to prevent responses to dangerous and unintended scenarios.
EMCT,Execution > Modify Controller Tasking — Adversaries may modify the tasking of a controller to allow for the execution of their own programs.
IPCMP,Impair Process Control > Modify Parameter — Adversaries may modify parameters used to instruct industrial control system devices.
PMP,"Persistence > Modify Program — Adversaries may modify or add a program on a controller to affect how it interacts with the physical process, peripheral devices and other hosts on the network."
IPCMF,Impair Process Control > Module Firmware — Adversaries may install malicious or vulnerable firmware onto modular hardware devices.
PMF,Persistence > Module Firmware — Adversaries may install malicious or vulnerable firmware onto modular hardware devices.
CMPS,Collection > Monitor Process State — Adversaries may gather information about the physical process state.
ENA,Execution > Native API — Adversaries may directly interact with the native OS application programming interface (API) to access system functions.
DNCE,Discovery > Network Connection Enumeration — Adversaries may perform network connection enumeration to discover information about device communication patterns.
DNS,Discovery > Network Sniffing — Network sniffing is the practice of using a network interface on a computer system to monitor or capture information (Citation:
CPTI,Collection > Point & Tag Identification — Adversaries may collect point and tag values to gain a more comprehensive understanding of the process environment.
LMPD,Lateral Movement > Program Download — Adversaries may perform a program download to transfer a user program to a controller.
CPU,Collection > Program Upload — Adversaries may attempt to upload a program from a PLC to gather information about an industrial process.
PPFI,Persistence > Project File Infection — Adversaries may attempt to infect project files with malicious code.
IARS,Initial Access > Remote Services — Adversaries may leverage remote services to move between assets and network segments.
LMRS,Lateral Movement > Remote Services — Adversaries may leverage remote services to move between assets and network segments.
DRSD,"Discovery > Remote System Discovery — Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for subsequent Lateral Movement or Discovery techniques."
DRSID,"Discovery > Remote System Information Discovery — An adversary may attempt to get detailed information about remote systems and their peripherals, such as make/model, role, and configuration."
IARTRM,"Initial Access > Replication Through Removable Media — Adversaries may move onto systems, such as those separated from the enterprise network, by copying malware to removable media which is inserted into the control systems environment."
IARM,Initial Access > Rogue Master — Adversaries may setup a rogue master to leverage control server functions to communicate with outstations.
ER,"Evasion > Rootkit — Adversaries may deploy rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components."
IRFR,"Inhibit Response Function > Rootkit — Adversaries may deploy rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components."
CSC,Collection > Screen Capture — Adversaries may attempt to perform screen capture of devices in the control system environment.
ES,Execution > Scripting — Adversaries may use scripting languages to execute arbitrary code in the form of a pre-written script or in the form of user-supplied code to an interpreter.
IRFSS,Inhibit Response Function > Service Stop — Adversaries may stop or disable services on a system to render those services unavailable to legitimate users.
IASA,"Initial Access > Spearphishing Attachment — Adversaries may use a spearphishing attachment, a variant of spearphishing, as a form of a social engineering attack against specific targets."
ESRM,Evasion > Spoof Reporting Message — Adversaries may spoof reporting messages in control system environments for evasion and to impair process control.
IPCSRM,Impair Process Control > Spoof Reporting Message — Adversaries may spoof reporting messages in control system environments for evasion and to impair process control.
CACSALP,"Command and Control > Standard Application Layer Protocol — Adversaries may establish command and control capabilities over commonly used application layer protocols such as HTTP(S), OPC, RDP, telnet, DNP3, and modbus."
IASCC,"Initial Access > Supply Chain Compromise — Adversaries may perform supply chain compromise to gain control systems environment access by means of infected products, software, and workflows."
ESBPE,"Evasion > System Binary Proxy Execution — Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries."
IRFSF,Inhibit Response Function > System Firmware — System firmware on modern assets is often designed with an update feature.
PSF,Persistence > System Firmware — System firmware on modern assets is often designed with an update feature.
ITOOI,Impact > Theft of Operational Information — Adversaries may steal operational information on a production environment as a direct mission outcome for personal gain or to inform future operations.
IATCA,Initial Access > Transient Cyber Asset — Adversaries may target devices that are transient across ICS networks and external networks.
IPCUCM,"Impair Process Control > Unauthorized Command Message — Adversaries may send unauthorized command messages to instruct control system assets to perform actions outside of their intended functionality, or without the logical preconditions to trigger their expected function."
EUE,Execution > User Execution — Adversaries may rely on a targeted organizations user interaction for the execution of malicious code.
LMVA,Lateral Movement > Valid Accounts — Adversaries may steal the credentials of a specific user or service account using credential access techniques.
PVA,Persistence > Valid Accounts — Adversaries may steal the credentials of a specific user or service account using credential access techniques.
IAWC,Initial Access > Wireless Compromise — Adversaries may perform wireless compromise as a method of gaining communications and unauthorized access to a wireless network.
CWS,Collection > Wireless Sniffing — Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments.
DWS,Discovery > Wireless Sniffing — Adversaries may seek to capture radio frequency (RF) communication used for remote control and reporting in distributed environments.
PEAECM,Privilege Escalation > Abuse Elevation Control Mechanism — Adversaries may circumvent mechanisms designed to control elevated privileges to gain higher-level permissions.
CAN,Collection > Access Notifications — Adversaries may collect data within notifications sent by the operating system or other applications.
CAAN,Credential Access > Access Notifications — Adversaries may collect data within notifications sent by the operating system or other applications.
CAITM,Collection > Adversary-in-the-Middle — Adversaries may attempt to position themselves between two or more networked devices to support follow-on behaviors such as [Transmitted Data Manipulation](https:
CACALP,Command and Control > Application Layer Protocol — Adversaries may communicate using application layer protocols to avoid detection/network filtering by blending in with existing traffic.
DEAV,Defense Evasion > Application Versioning — An adversary may push an update to a previously benign application to add malicious code.
IAAV,Initial Access > Application Versioning — An adversary may push an update to a previously benign application to add malicious code.
CACD,Collection > Archive Collected Data — Adversaries may compress and/or encrypt data that is collected prior to exfiltration.
CACAC,"Command and Control > Asymmetric Cryptography — Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic, rather than relying on any inherent protections provided by a communication protocol."
CAC,Collection > Audio Capture — Adversaries may capture audio to collect information by leveraging standard operating system APIs of a mobile device.
CACBC,"Command and Control > Bidirectional Communication — Adversaries may use an existing, legitimate external Web service channel as a means for sending commands to and receiving output from a compromised system."
PBR,Persistence > Broadcast Receivers — Adversaries may establish persistence using system mechanisms that trigger execution based on specific events.
CCE,Collection > Calendar Entries — Adversaries may utilize standard operating system APIs to gather calendar entry data.
CCC,"Collection > Call Control — Adversaries may make, forward, or block phone calls without user authorization."
CACCC,"Command and Control > Call Control — Adversaries may make, forward, or block phone calls without user authorization."
ICC,"Impact > Call Control — Adversaries may make, forward, or block phone calls without user authorization."
CCL,Collection > Call Log — Adversaries may utilize standard operating system APIs to gather call log data.
CCD,Collection > Clipboard Data — Adversaries may abuse clipboard manager APIs to obtain sensitive information copied to the device clipboard.
CACD,Credential Access > Clipboard Data — Adversaries may abuse clipboard manager APIs to obtain sensitive information copied to the device clipboard.
DECSPM,Defense Evasion > Code Signing Policy Modification — Adversaries may modify code signing policies to enable execution of applications signed with unofficial or unknown keys.
PCAE,Persistence > Compromise Application Executable — Adversaries may modify applications installed on a device to establish persistent access to a victim.
PCCSB,Persistence > Compromise Client Software Binary — Adversaries may modify system software binaries to establish persistent access to devices.
IACHSC,Initial Access > Compromise Hardware Supply Chain — Adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise.
IACSDADT,Initial Access > Compromise Software Dependencies and Development Tools — Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.
IACSSC,Initial Access > Compromise Software Supply Chain — Adversaries may manipulate application software prior to receipt by a final consumer for the purpose of data or system compromise.
DECMF,Defense Evasion > Conceal Multimedia Files — Adversaries may attempt to hide multimedia files from the user.
CCL,Collection > Contact List — Adversaries may utilize standard operating system APIs to gather contact list data.
CACFPS,Credential Access > Credentials from Password Store — Adversaries may search common password storage locations to obtain user credentials.
IDD,"Impact > Data Destruction — Adversaries may destroy data and files on specific devices or in large numbers to interrupt availability to systems, services, and network resources."
IDEFI,Impact > Data Encrypted for Impact — An adversary may encrypt files stored on a mobile device to prevent the user from accessing them.
IDM,"Impact > Data Manipulation — Adversaries may insert, delete, or alter data in order to manipulate external outcomes or hide activity."
CDFLS,"Collection > Data from Local System — Adversaries may search local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to exfiltration."
CACDDR,"Command and Control > Dead Drop Resolver — Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure."
PEDAP,Privilege Escalation > Device Administrator Permissions — Adversaries may abuse Android’s device administration API to obtain a higher degree of control over the device.
DEDL,Defense Evasion > Device Lockout — An adversary may seek to inhibit user interaction by locking the legitimate user out of the device.
DEDOMT,Defense Evasion > Disable or Modify Tools — Adversaries may disable security tools to avoid potential detection of their tools and activities.
DEDRJI,Defense Evasion > Disguise Root/Jailbreak Indicators — An adversary could use knowledge of the techniques used by security software to evade detection.
CACDGA,Command and Control > Domain Generation Algorithms — Adversaries may use [Domain Generation Algorithms](https:
DEDNCAR,Defense Evasion > Download New Code at Runtime — Adversaries may download and execute dynamic code not included in the original application package after installation.
IADBC,Initial Access > Drive-By Compromise — Adversaries may gain access to a system through a user visiting a website over the normal course of browsing.
CACEC,Command and Control > Encrypted Channel — Adversaries may explicitly employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
PETE,Persistence > Event Triggered Execution — Adversaries may establish persistence using system mechanisms that trigger execution based on specific events.
EEOUNCP,Exfiltration > Exfiltration Over Unencrypted Non-C2 Protocol — Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel.
IAEFIA,Initial Access > Exploitation for Initial Access — Adversaries may exploit software vulnerabilities to gain initial access to a mobile device.
PEEFPE,Privilege Escalation > Exploitation for Privilege Escalation — Adversaries may exploit software vulnerabilities in order to elevate privileges.
LMEORS,"Lateral Movement > Exploitation of Remote Services — Adversaries may exploit remote services of enterprise servers, workstations, or other resources to gain unauthorized access to internal systems once inside of a network."
DEFD,Defense Evasion > File Deletion — Adversaries may wipe a device or delete individual files in order to manipulate external outcomes or hide activity.
DFADD,Discovery > File and Directory Discovery — Adversaries may enumerate files and directories or search in specific device locations for desired information within a filesystem.
DEFP,Defense Evasion > Foreground Persistence — Adversaries may abuse Android's `startForeground()` API method to maintain continuous sensor access.
PFP,Persistence > Foreground Persistence — Adversaries may abuse Android's `startForeground()` API method to maintain continuous sensor access.
CGIC,Collection > GUI Input Capture — Adversaries may mimic common operating system GUI components to prompt users for sensitive information with a seemingly legitimate prompt.
CAGIC,Credential Access > GUI Input Capture — Adversaries may mimic common operating system GUI components to prompt users for sensitive information with a seemingly legitimate prompt.
IGTFV,Impact > Generate Traffic from Victim — Adversaries may generate outbound traffic from devices.
DEG,Defense Evasion > Geofencing — Adversaries may use a device’s geographical location to limit certain malicious behaviors.
PHEF,Persistence > Hijack Execution Flow — Adversaries may execute their own malicious payloads by hijacking the way operating systems run applications.
DEH,Defense Evasion > Hooking — Adversaries may utilize hooking to hide the presence of artifacts associated with their behaviors to evade detection.
CISN,Collection > Impersonate SS7 Nodes — Adversaries may exploit the lack of authentication in signaling system network nodes to track the location of mobile devices by impersonating a node.
DISN,Discovery > Impersonate SS7 Nodes — Adversaries may exploit the lack of authentication in signaling system network nodes to track the location of mobile devices by impersonating a node.
DEIROH,"Defense Evasion > Indicator Removal on Host — Adversaries may delete, alter, or hide generated artifacts on a device, including files, jailbreak status, or the malicious application itself."
CACITT,Command and Control > Ingress Tool Transfer — Adversaries may transfer tools or other files from an external system onto a compromised device to facilitate follow-on actions.
DEII,Defense Evasion > Input Injection — A malicious application can inject input to the user interface to mimic user interaction through the abuse of Android's accessibility APIs.
III,Impact > Input Injection — A malicious application can inject input to the user interface to mimic user interaction through the abuse of Android's accessibility APIs.
DICD,Discovery > Internet Connection Discovery — Adversaries may check for Internet connectivity on compromised systems.
CAK,Credential Access > Keychain — Adversaries may collect keychain data from an iOS device to acquire credentials.
CK,Collection > Keylogging — Adversaries may log user keystrokes to intercept credentials or other information from the user as the user types them.
CAK,Credential Access > Keylogging — Adversaries may log user keystrokes to intercept credentials or other information from the user as the user types them.
CLT,Collection > Location Tracking — Adversaries may track a device’s physical location through use of standard operating system APIs via malicious or exploited applications on the compromised device.
DLT,Discovery > Location Tracking — Adversaries may track a device’s physical location through use of standard operating system APIs via malicious or exploited applications on the compromised device.
IALB,Initial Access > Lockscreen Bypass — An adversary with physical access to a mobile device may seek to bypass the device’s lockscreen.
DEMLNOL,Defense Evasion > Match Legitimate Name or Location — Adversaries may match or approximate the name or location of legitimate files or resources when naming/placing them.
DENA,Defense Evasion > Native API — Adversaries may use Android’s Native Development Kit (NDK) to write native functions that can achieve execution of binaries or functions.
ENA,Execution > Native API — Adversaries may use Android’s Native Development Kit (NDK) to write native functions that can achieve execution of binaries or functions.
DNSS,"Discovery > Network Service Scanning — Adversaries may attempt to get a listing of services running on remote hosts, including those that may be vulnerable to remote software exploitation."
CACNSP,Command and Control > Non-Standard Port — Adversaries may generate network traffic using a protocol and port pairing that are typically not associated.
DEOFOI,"Defense Evasion > Obfuscated Files or Information — Adversaries may attempt to make a payload or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the device or in transit."
CACOWC,"Command and Control > One-Way Communication — Adversaries may use an existing, legitimate external Web service channel as a means for sending commands to a compromised system without receiving return output."
CACOOBD,Command and Control > Out of Band Data — Adversaries may communicate with compromised devices using out of band data streams.
IAP,Initial Access > Phishing — Adversaries may send malicious content to users in order to gain access to their mobile devices.
DEPAR,Defense Evasion > Prevent Application Removal — Adversaries may abuse the Android device administration API to prevent the user from uninstalling a target application.
DPD,Discovery > Process Discovery — Adversaries may attempt to get information about running processes on a device.
DEPI,Defense Evasion > Process Injection — Adversaries may inject code into processes in order to evade process-based defenses or even elevate privileges.
PEPI,Privilege Escalation > Process Injection — Adversaries may inject code into processes in order to evade process-based defenses or even elevate privileges.
CPUD,"Collection > Protected User Data — Adversaries may utilize standard operating system APIs to collect data from permission-backed data stores on a device, such as the calendar or contact list."
DEPTV,Defense Evasion > Proxy Through Victim — Adversaries may use a compromised device as a proxy server to the Internet.
